"Movie","Distributor","Gross","Change","Thtrs.","Per Thtr.","Total Gross","Days","UpdateDate"
"The Hustle","MGM",1376649,0.3,2377,579,28460874,16,525
"A Dog’s Journey","Universal",1540000,0.39,3279,470,13480535,9,525
"John Wick: Chapter 3","Lionsgate",8973000,0.36,3850,2331,92216941,9,525
"The Sun is Also a St","Warner Bros.",280000,0.1,2073,135,4021824,9,525
"Booksmart","Annapurna Pictures",2111660,-0.16,2505,843,4611660,2,525
"BrightBurn","Sony Pictures",2435000,-0.2,2607,934,5460000,2,525
"Meeting Gorbachev","1091 Media",11804,0.4,32,369,137093,23,525
"The Biggest Little F","Neon",173614,0.11,180,965,859774,16,525
"Tolkien","Fox Searchlight",56000,0.47,189,296,4286650,16,525
"Long Shot","Lionsgate",602418,0.05,1358,444,28731673,24,526
"The Intruder","Sony Pictures",814826,-0.07,1612,505,31966509,24,526
"UglyDolls","STX Entertainment",254972,0.02,1090,234,18862439,24,526
"Pokémon: Detective P","Warner Bros.",4873037,-0.05,3824,1274,116238881,17,526
"Poms","STX Entertainment",235975,-0.01,911,259,12366929,17,526
"The Hustle","MGM",1131625,-0.18,2377,476,29604281,17,526
"A Dog’s Journey","Universal",1499535,-0.02,3279,457,14970820,10,526
"John Wick: Chapter 3","Lionsgate",9016988,0.01,3850,2342,101226617,10,526
"The Sun is Also a St","Warner Bros.",270667,-0.04,2073,131,4293561,10,526
"Booksmart","Annapurna Pictures",2339906,0.11,2505,934,6933620,3,526
"BrightBurn","Sony Pictures",2413792,-0.01,2607,926,7845658,3,526
"Meeting Gorbachev","1091 Media",10623,-0.1,32,332,147716,24,526
"The Biggest Little F","Neon",192826,0.09,181,1065,1054861,17,526
"Tolkien","Fox Searchlight",47958,-0.12,189,254,4332217,17,526
"Trial by Fire","Roadside Attractions",6024,0.17,45,134,138866,10,526
"The Tomorrow Man","Bleecker Street",6104,-0.16,4,1526,22693,5,526
"Echo in the Canyon","Greenwich",45851,0.29,2,22926,117651,3,526
"Long Shot","Lionsgate",395996,-0.34,1358,292,29127669,25,527
"The Intruder","Sony Pictures",642201,-0.21,1612,398,32608710,25,527
"UglyDolls","STX Entertainment",247811,-0.03,1090,227,19110250,25,527
"Pokémon: Detective P","Warner Bros.",3831142,-0.21,3824,1002,120070023,18,527
"Poms","STX Entertainment",231846,-0.02,911,254,12598775,18,527
"The Hustle","MGM",1011415,-0.11,2377,426,30615696,18,527
"A Dog’s Journey","Universal",1306815,-0.13,3279,399,16277635,11,527
"John Wick: Chapter 3","Lionsgate",6386621,-0.29,3850,1659,107613238,11,527
"The Sun is Also a St","Warner Bros.",242144,-0.11,2073,117,4535705,11,527
"Booksmart","Annapurna Pictures",1767743,-0.24,2505,706,8701363,4,527
"BrightBurn","Sony Pictures",1764759,-0.27,2607,677,9610417,4,527
"Meeting Gorbachev","1091 Media",8401,-0.21,32,263,156117,25,527
"The Biggest Little F","Neon",154889,-0.2,181,856,1209750,18,527
"Tolkien","Fox Searchlight",47362,-0.01,189,251,4379579,18,527
"Trial by Fire","Roadside Attractions",4675,-0.22,45,104,143541,11,527
"The Tomorrow Man","Bleecker Street",6464,0.06,4,1616,29157,6,527
"Echo in the Canyon","Greenwich",23431,-0.49,2,11716,141082,4,527
